source,target,value
ARG,AUS,621445.784
ARG,BRA,11291357.44
ARG,CAN,1293941.486
ARG,CHN,4210929.515
ARG,DEU,1051588.361
ARG,EUN,9895202.845
ARG,FRA,405367.944
ARG,GBR,829716.929
ARG,IDN,1282595.299
ARG,IND,1600405.104
ARG,ITA,1083655.303
ARG,JPN,484298.812
ARG,KOR,291531.322
ARG,MEX,734649.732
ARG,RUS,753983.659
ARG,SAU,931899.341
ARG,TUR,454254.609
ARG,USA,4277904.697
ARG,ZAF,516166.094
AUS,ARG,331904.795
AUS,BRA,1040392.813
AUS,CAN,1417342.513
AUS,CHN,87726224.73
AUS,DEU,1661255.421
AUS,EUN,13160461.49
AUS,FRA,1219837.904
AUS,GBR,3611194.164
AUS,IDN,4796360.17
AUS,IND,12369311.51
AUS,ITA,646181.199
AUS,JPN,41355759.25
AUS,KOR,17745603.69
AUS,MEX,190688.116
AUS,RUS,462887.069
AUS,SAU,549037.087
AUS,TUR,329435.61
AUS,USA,9552813.996
AUS,ZAF,1243551.243
BRA,ARG,14912622.71
BRA,AUS,469972.056
BRA,CAN,3353111.436
BRA,CHN,63929563.24
BRA,DEU,5206384.657
BRA,EUN,37140459.54
BRA,FRA,2649661.264
BRA,GBR,3009410.1
BRA,IDN,1476563.241
BRA,IND,3908941.505
BRA,ITA,3554477.181
BRA,JPN,4321411.289
BRA,KOR,3439019.735
BRA,MEX,4504798.201
BRA,RUS,1654847.021
BRA,SAU,2100132.3
BRA,TUR,2369855.788
BRA,USA,29093175.4
BRA,ZAF,1362466.344
CAN,ARG,225187.067
CAN,AUS,1316116.869
CAN,BRA,1587650.932
CAN,CHN,20708486.65
CAN,DEU,3008629.597
CAN,EUN,36258826.46
CAN,FRA,2421490.96
CAN,GBR,12284260.18
CAN,IDN,1629842.418
CAN,IND,3260110.139
CAN,ITA,2321386.979
CAN,JPN,9845404.375
CAN,KOR,4468176.738
CAN,MEX,5994860.023
CAN,RUS,378480.8
CAN,SAU,1388480.091
CAN,TUR,977670.001
CAN,USA,307704783.2
CAN,ZAF,286984.661
CHN,ARG,8418452.732
CHN,AUS,47547551.19
CHN,BRA,33731542.16
CHN,CAN,35532672.71
CHN,DEU,77908711.12
CHN,EUN,466353183.1
CHN,FRA,31193001.96
CHN,GBR,56987895.81
