Year,Country,Export Volume,Import Volume
2000,ARG,20364428.89,22553460.52
2001,ARG,19850126.78,18137019.6
2002,ARG,19923802.72,7980757.655
2003,ARG,23162788.87,13137960.7
2004,ARG,26200850.85,20499936.77
2005,ARG,29647995.14,25466392.56
2006,ARG,34851448.89,31113523.75
2007,ARG,42653677.28,40193141.68
2008,ARG,53063189.53,49274154.33
2009,ARG,40241970.88,35010240.09
2010,ARG,49675347.21,52285882.17
2011,ARG,59383155.22,79535440.12
2012,ARG,96237381.74,130179827.8
2013,ARG,92390978.93,139261434.6
2014,ARG,82571675.51,116967443.6
2015,ARG,70940540.19,109954980
2016,ARG,71442101.61,103642219.3
2017,ARG,70301616.73,123151143.3
2018,ARG,74126585.68,117062905.8
2019,ARG,76763316.65,89090245.05
2020,ARG,63018433.74,75871253.59
2000,AUS,46703974.69,55100721.76
2001,AUS,47680089.3,51247090.92
2002,AUS,49534122.04,58411225.69
2003,AUS,55908223.19,70078099.15
2004,AUS,67179659.45,83931178.11
2005,AUS,82872125.72,92145259.33
2006,AUS,99485993.43,100937802
2007,AUS,113202798,118599465.4
2008,AUS,152524707.6,143756355.7
2009,AUS,127177939.6,115998243.1
2010,AUS,175469405.3,139220819.2
2011,AUS,223066667.2,223670608
2012,AUS,403306891.6,374707276.7
2013,AUS,351436092.2,349508437.8
2014,AUS,367186378.7,339245257.8
2015,AUS,284476721.5,319601612.4
2016,AUS,284341912.6,306650391.5
2017,AUS,300712140.7,361497250.3
2018,AUS,385660024,365357937.1
2019,AUS,425192224.6,353335391.3
2020,AUS,382593410.9,322849752.3
2000,BRA,53315280.46,54718818.92
2001,BRA,54607367.21,56405021.9
2002,BRA,55167014.39,48260737.94
2003,BRA,68331455.38,45954524.72
2004,BRA,86218815.67,58278196.43
2005,BRA,102639833.2,68194267.5
2006,BRA,115762444.2,82286066.18
2007,BRA,137089341,108164059.2
2008,BRA,164292503.2,151987482.8
2009,BRA,124765169.3,116485854.3
2010,BRA,166218822.3,166910653.3
2011,BRA,210090276.6,269223610.9
2012,BRA,334992680.8,459476149.9
2013,BRA,325061474.9,457700857.3
2014,BRA,305753149.1,434520923.3
2015,BRA,261469489.3,331150533.7
2016,BRA,256906532.4,291895267.7
2017,BRA,308714818.1,333346441.2
2018,BRA,339773286.4,369533882.5
2019,BRA,324118741.6,368401563.8
2020,BRA,304745875.2,313536974.6
2000,CAN,264316525,211078527.7
2001,CAN,247547996.1,196899747.1
2002,CAN,256294199.5,199674818.8
2003,CAN,276610968,212918800.7
2004,CAN,301096018.1,238033827.4
2005,CAN,340751488.2,265039303.1
2006,CAN,365424783.8,294126923.4
2007,CAN,394178237.5,318098108.8
2008,CAN,430621490.9,335535430.9
2009,CAN,294392592.5,265401115.6
2010,CAN,363595296.5,319535558.8
2011,CAN,427415797.2,624220688.7
2012,CAN,873211874.5,791122630.7
2013,CAN,872116818.1,801285991.9
2014,CAN,852887806.1,824466281.1
2015,CAN,720309694.6,746177398.2
2016,CAN,683451886.2,717901400.9
2017,CAN,745621792.5,771668766.4
2018,CAN,795874829.7,837742007.6
2019,CAN,792615640.9,830007234.3
2020,CAN,673395953.1,723025053.6
2000,CHN,216719784.5,120961536
2001,CHN,230617184.9,133222688.2
2002,CHN,274825141.4,164244302.8
2003,CHN,372755664.7,233412447.6
2004,CHN,501401250.1,301168600
2005,CHN,633945861.8,347880679
2006,CHN,785713766.3,423265093.4
2007,CHN,989721101.4,507922273.2
2008,CHN,1149064482,593367065.2
2009,CHN,950796547.2,575084326.4
2010,CHN,1238343380,784043668.1
2011,CHN,1436643879,1430137060
2012,CHN,2515217482,2250648046
2013,CHN,2591373913,2346535454
2014,CHN,2762918317,2404709078
2015,CHN,2695941971,2128152364
2016,CHN,2555134300,2096465303
2017,CHN,2820667893,2440416726
2018,CHN,3115497740,2755134614
2019,CHN,3036749009,2694694201
2020,CHN,3122214703,2621699993
2000,DEU,271651250,204506888.1
2001,DEU,277355984,195904716.9
2002,DEU,299181922,192890690.6
2003,DEU,365369597,227710214.6
2004,DEU,440793659,267851324.4
2005,DEU,464477887,293735964.3
2006,DEU,527920301,342195875.1
2007,DEU,613040824,379874998.6
2008,DEU,661139654.2,434428257.4
2009,DEU,522922685.7,330161892.3
2010,DEU,599510410,388822212.4
2011,DEU,716729744.7,641272714.5
2012,DEU,1402533205,834180353.3
2013,DEU,1436490843,819510617.4
2014,DEU,1472419314,849887654.8
2015,DEU,1306131759,749922419.1
2016,DEU,1285411575,754300334.3
2017,DEU,1382212655,813942770.7
2018,DEU,1477630222,883884401.7
2019,DEU,1413193906,856633332.6
2020,DEU,1291375860,811472472.8
2000,EUN,457427576.7,549527981
2001,EUN,458058477.7,531479656.2
2002,EUN,495724578.6,540176515
2003,EUN,576554406.4,646898184.2
2004,EUN,692776266,785549572.6
2005,EUN,755395581.6,890071838.3
2006,EUN,850628977.9,1040181387
2007,EUN,980670170.5,1232222380
2008,EUN,1089998921,1421229918
2009,EUN,848896063.1,1058014104
2010,EUN,1012363893,1230341177
2011,EUN,1226831110,1454846457
2012,EUN,3850296660,1370991306
2013,EUN,3881701704,1325892372
2014,EUN,3947820613,1348237049
2015,EUN,3506229198,1188051619
2016,EUN,3447244099,1186567715
2017,EUN,3795966496,1306661528
2018,EUN,4169233957,1459500234
2019,EUN,4163876245,1456666066
2020,EUN,4143482591,1298584286
2000,FRA,152798947.8,163992239.2
2001,FRA,146890859.1,159819976.9
2002,FRA,156074747.2,164255508.9
2003,FRA,179537516.9,192973392.2
2004,FRA,209815874.1,228991494.1
2005,FRA,218088844.9,243529166.9
2006,FRA,240926666.2,281387592.6
2007,FRA,271137924.1,307091896.7
2008,FRA,296371557.3,331899362.7
2009,FRA,227475996.1,271674089.9
2010,FRA,259571935.8,294665254.8
2011,FRA,302582172.9,463701763.9
2012,FRA,579646793,630246017.9
2013,FRA,585852923.9,634391786.9
2014,FRA,590418217.4,627761527.7
2015,FRA,517510240.5,546656716
2016,FRA,514207861.7,545047060.9
2017,FRA,540042980.4,589028482.9
2018,FRA,583556268.9,632972627.7
2019,FRA,572532255.6,619921416.9
2020,FRA,487797642.3,545196851
2000,GBR,157785199.8,177183628
2001,GBR,148728496.4,172263346.2
2002,GBR,150332042.2,175250330.4
2003,GBR,167486586.2,204512522.9
2004,GBR,189021169.9,239431949.8
2005,GBR,200319382.8,251060670.5
2006,GBR,236994837.3,280815383.3
2007,GBR,233489752.3,325133749
2008,GBR,243837475.7,339103614.3
2009,GBR,185814931.3,266405251.6
2010,GBR,214492386.7,295734401
2011,GBR,253391078.7,457158915.4
2012,GBR,487513996.3,667241911.2
2013,GBR,484628594.1,655195614.5
2014,GBR,496724994.6,697218644.8
2015,GBR,485015153.5,667742812.3
2016,GBR,431484464.6,673010560.9
2017,GBR,458448383.6,679209253.7
2018,GBR,507800748.5,712015462.3
2019,GBR,490085061.4,734690260.5
2020,GBR,528261052.8,1446694675
2000,IDN,49626595.38,26241538.65
2001,IDN,45788931.7,24660986.68
2002,IDN,46198669.59,25859257.53
2003,IDN,50634789.1,29550582
2004,IDN,58165951.63,36719445.85
2005,IDN,67951221.67,41427284.23
2006,IDN,79795037.8,42062308.28
2007,IDN,89243107.28,51330505.91
2008,IDN,105052951.9,67939369.31
2009,IDN,86891851.59,56902931.64
2010,IDN,115951726.2,81193858.94
2011,IDN,149496626.6,144849998.4
2012,IDN,252471631.3,251603757.8
2013,IDN,240457811.2,246400678.5
2014,IDN,223745129.1,240728822.3
2015,IDN,191587441.6,199586314.7
2016,IDN,182934636.9,192490339.1
2017,IDN,215298639.5,212144886.8
2018,IDN,230571635.6,241175881.3
2019,IDN,211643207.3,235476920.7
2020,IDN,208746677.7,198952762.3
2000,IND,34591635.44,33850888.54
2001,IND,33799812.77,32553852.69
2002,IND,39112932.17,37004726.41
2003,IND,45643928.83,48036880.87
2004,IND,57433770.29,62945897.56
2005,IND,74023852.04,81029365.19
2006,IND,87416766.76,101516869.7
2007,IND,104041723.1,140914148.8
2008,IND,122433613.9,174872463.5
2009,IND,107234022.6,155515327.4
2010,IND,139366241.3,193316544.5
2011,IND,174998293.1,287751404.7
2012,IND,298478206.5,485093215.3
2013,IND,337416791.1,459602978.3
2014,IND,331196061.1,466896965.9
2015,IND,272478321.7,448376264.9
2016,IND,267491453.8,441551396.6
2017,IND,307071985.6,526889167
2018,IND,340881595,597668702.5
2019,IND,344439947.7,561704978
2020,IND,307418137.6,454738037.1
2000,ITA,134317672,119655305.8
2001,ITA,133656386.1,116698555.5
2002,ITA,137709656.4,122953354.1
2003,ITA,159851951.4,148220496.6
2004,ITA,186746076.3,175968254.8
2005,ITA,195681062.8,191720237.8
2006,ITA,214818487.6,220577590.9
2007,ITA,252320081.2,249133064
2008,ITA,267257439.4,280394036.5
2009,ITA,199063966,206538462.7
2010,ITA,226985321.9,234594894.5
2011,ITA,521964802.9,330782738.3
2012,ITA,503303502.9,450047411
2013,ITA,526602412.8,453088381.5
2014,ITA,537792261.4,469156792.4
2015,ITA,461338103.8,401898974
2016,ITA,465851676.9,402441723.2
2017,ITA,513985102.2,441486682.5
2018,ITA,540239574.6,493379233.2
2019,ITA,529470650.2,469561826.1
2020,ITA,507569293.2,415893174.3
2000,JPN,377717693.9,234503768.1
2001,JPN,326543784.8,222184146.1
2002,JPN,331883841.5,218062880.5
2003,JPN,375744569.9,246244979.2
2004,JPN,440039541.1,286023686.5
2005,JPN,460502626.8,313311186.1
2006,JPN,503880444.2,342068941.5
2007,JPN,551980542.6,369956670.6
2008,JPN,589638948.4,420958962.2
2009,JPN,433375463.6,326586800.5
2010,JPN,555317915.7,408408268.7
2011,JPN,1113725559,629361705.9
2012,JPN,1076463051,1086487163
2013,JPN,977828659.1,1026672408
2014,JPN,938589203.7,1027198804
2015,JPN,841716827.9,878291635
2016,JPN,880779157.5,856565995.2
2017,JPN,964320792.8,913166438.6
2018,JPN,1023989380,1024491410
2019,JPN,977671457.3,1004678303
2020,JPN,875937866.5,874838391.6
2000,KOR,133896258.7,108864568
2001,KOR,114641406.6,96434828.71
2002,KOR,124200222.6,108483744.4
2003,KOR,151295186.1,125128751.3
2004,KOR,199216263.6,154130054.3
2005,KOR,227099134.7,176052343.6
2006,KOR,255622785.7,203689724.8
2007,KOR,287541876.9,236320562.6
2008,KOR,310296515.9,276201378.3
2009,KOR,257326122.7,217260843.2
2010,KOR,336501028.8,286021021.5
2011,KOR,733843731.5,469592332.4
2012,KOR,723964986.2,726130532.2
2013,KOR,745250426.3,725494668.7
2014,KOR,760927181.4,761035316.3
2015,KOR,701899027.6,698552159.9
2016,KOR,638004307.9,660218481.3
2017,KOR,747363980.3,750574418.2
2018,KOR,788413326.5,815235185.8
2019,KOR,716864571,774814226.8
2020,KOR,672617365.7,742081633.2
2000,MEX,163093352.2,134816707
2001,MEX,152722102.9,125811848.1
2002,MEX,152887570.1,124176281.6
2003,MEX,162247491.7,125074336.2
2004,MEX,184044611.3,144456075.6
2005,MEX,209245747.6,161929687.7
2006,MEX,242783914.2,189239204.2
2007,MEX,263187771.6,207210670.3
2008,MEX,281522831.6,228968095.7
2009,MEX,223161688.4,176017312
2010,MEX,289142659.5,224104666.5
2011,MEX,652610118.7,456181092.7
2012,MEX,689307057.6,609396843.2
2013,MEX,706733388,626099951.7
2014,MEX,741950737.3,663375556.1
2015,MEX,717991805.6,648928639.5
2016,MEX,710205842.1,632994919.5
2017,MEX,778272073.1,688031478
2018,MEX,851440620.9,758085630.3
2019,MEX,844787412.4,731019847.7
2020,MEX,772745840.6,606441267.1
2000,RUS,100187941,39953664.17
2001,RUS,100281796.2,54159478.29
2002,RUS,103123668.6,62074674.37
2003,RUS,132874997.5,81846427.85
2004,RUS,174505724.1,111257761
2005,RUS,235019595.7,139883661.8
2006,RUS,297957323.1,182062728
2007,RUS,314100814.3,254100022.5
2008,RUS,459794648.8,321414752.3
2009,RUS,292494732.9,180622104.8
2010,RUS,334749086.4,238341794.7
2011,RUS,608090229,365678325.2
2012,RUS,615684052.5,925299172.2
2013,RUS,612663726.4,925467384.2
2014,RUS,576585464.1,827360831
2015,RUS,385955442.3,503314656.6
2016,RUS,381388361.2,482019721.6
2017,RUS,479031117.8,583489126.8
2018,RUS,587739387.5,638419116.6
2019,RUS,555499699.1,623960879.5
2020,RUS,430572544.2,522706190.1
2000,SAU,16406644.83,33857240.02
2001,SAU,13947549.23,36002212.16
2002,SAU,13783136.48,37906209.48
2003,SAU,17664957.18,42031844.59
2004,SAU,23810982.92,44690696.27
2005,SAU,32511862.31,54055132.55
2006,SAU,34282959.05,64879916.48
2007,SAU,31523897.17,84438635.78
2008,SAU,39724486.61,102789433.3
2009,SAU,22560354.71,84973851.23
2010,SAU,31209998.4,97446943.98
2011,SAU,68219301.98,153837763.4
2012,SAU,75952166.53,320227293.6
2013,SAU,74580605.28,339871077.9
2014,SAU,76336674.14,347628576.8
2015,SAU,54159008.83,320026868.3
2016,SAU,48944963.63,265944591.3
2017,SAU,55831566.62,258375053.2
2018,SAU,79580618.47,253961721
2019,SAU,74141079.32,261868365.2
2020,SAU,53381679.51,228308147.4
2000,TUR,32856762.91,59129992.64
2001,TUR,37096945.02,41378227.98
2002,TUR,42765678.66,51289987.78
2003,TUR,55404752.58,71154782.25
2004,TUR,72796915.48,100906437.6
2005,TUR,80443511.44,116206925.4
2006,TUR,92803364.88,137198883.2
2007,TUR,113244907.2,157717137.5
2008,TUR,122313447.4,189178992.2
2009,TUR,91633130.64,136984412.3
2010,TUR,104568052.6,176758793.6
2011,TUR,182816121.1,276285948.6
2012,TUR,179590900.9,485599680.5
2013,TUR,196308657,514676159
2014,TUR,202544615.3,508448671.4
2015,TUR,188228072.5,457969028.5
2016,TUR,194858578.6,459239236
2017,TUR,209006093.2,511623117.5
2018,TUR,233676102.6,521379589
2019,TUR,231857628.3,479573628.4
2020,TUR,208650374.1,455734338.8
2000,USA,694322985.9,1026476656
2001,USA,650130129.5,977283101.8
2002,USA,616852201.5,1025158075
2003,USA,635867184.1,1106017311
2004,USA,702021449.2,1266474981
2005,USA,750755252.9,1400872338
2006,USA,849816099.3,1547012320
2007,USA,949856687.3,1637358837
2008,USA,1042810716,1713701847
2009,USA,842606341.8,1298801465
2010,USA,981345844.5,1573270442
2011,USA,2002994615,2321535886
2012,USA,2088632494,4094083150
2013,USA,2098691294,4186111064
2014,USA,2169163222,4383903765
2015,USA,2031052417,4261131811
2016,USA,1959885647,4119012525
2017,USA,2110224179,4424545366
2018,USA,2269588994,4843625009
2019,USA,2241540743,4804700963
2020,USA,1915986349,4249665899
2000,ZAF,25708141.43,26834521.13
2001,ZAF,29927518.73,27326443.18
2002,ZAF,27408314.59,28869383.01
2003,ZAF,34982955.92,37027432.92
2004,ZAF,42802819.01,48778298.16
2005,ZAF,48624299.28,56385463.83
2006,ZAF,55976863.87,66245131.7
2007,ZAF,68203812.12,74648718.86
2008,ZAF,78420673.92,83179283.61
2009,ZAF,55415116.01,59808058
2010,ZAF,68277231.64,77639128.41
2011,ZAF,131026501.9,116295329
2012,ZAF,112166555,216209831.6
2013,ZAF,103049799,207869593.4
2014,ZAF,101759589.1,200542641.6
2015,ZAF,91828785.98,180773214.8
2016,ZAF,92364321.42,164374499
2017,ZAF,104899582.8,178745791.5
2018,ZAF,113201282.7,187850628.9
2019,ZAF,113235087.7,185478233.9
2020,ZAF,98806092.92,141026589.4
