source,target,year,value
ARG,AUS,2000,10185.270999999993
ARG,BRA,2000,761257.7989999996
ARG,CAN,2000,111536.08799999999
ARG,CHN,2000,186624.03300000005
ARG,DEU,2000,-584973.827
ARG,EUN,2000,-583660.5520000001
ARG,FRA,2000,-483359.6880000001
ARG,GBR,2000,-171192.664
ARG,IDN,2000,-6782.865000000005
ARG,IND,2000,348977.309
ARG,ITA,2000,-263072.48199999996
ARG,JPN,2000,-348350.457
ARG,KOR,2000,-296467.078
ARG,MEX,2000,-10521.453000000038
ARG,RUS,2000,66900.141
ARG,SAU,2000,35087.676999999996
ARG,TUR,2000,56715.71400000001
ARG,USA,2000,-1165627.5869999998
ARG,ZAF,2000,147692.994
AUS,BRA,2000,-8633.256999999983
AUS,CAN,2000,73906.05599999998
AUS,CHN,2000,45578.174999999814
AUS,DEU,2000,-2356786.243
AUS,EUN,2000,-6165822.269000001
AUS,FRA,2000,-714639.075
AUS,GBR,2000,-1947917.994
AUS,IDN,2000,153348.31199999992
AUS,IND,2000,662176.1230000001
AUS,ITA,2000,-718658.03
AUS,JPN,2000,4028408.876
AUS,KOR,2000,2624188.5020000003
AUS,MEX,2000,35992.788
AUS,RUS,2000,148964.448
AUS,SAU,2000,815355.214
AUS,TUR,2000,48792.134000000005
AUS,USA,2000,-5360515.653000001
AUS,ZAF,2000,249700.10700000002
BRA,CAN,2000,-85960.49099999992
BRA,CHN,2000,-138685.78400000022
BRA,DEU,2000,-2098780.943
BRA,EUN,2000,1672750.6800000016
BRA,FRA,2000,-337800.33999999985
BRA,GBR,2000,322277.40599999996
BRA,IDN,2000,-22269.146999999997
BRA,IND,2000,24867.157999999996
BRA,ITA,2000,-102081.55700000003
BRA,JPN,2000,-50986.1540000001
BRA,KOR,2000,-1143460.092
BRA,MEX,2000,1020949.059
BRA,RUS,2000,164255.66299999997
BRA,SAU,2000,410172.755
BRA,TUR,2000,240079.53600000002
BRA,USA,2000,-625771.9919999987
BRA,ZAF,2000,99530.321
CAN,CHN,2000,-985066.3060000003
CAN,DEU,2000,-1945650.012
CAN,EUN,2000,-1951991.1229999997
CAN,FRA,2000,-1160267.3010000002
CAN,GBR,2000,-1683432.0929999999
CAN,IDN,2000,43082.42499999999
CAN,IND,2000,-285304.01300000004
CAN,ITA,2000,-1023436.594
CAN,JPN,2000,-1442663.0639999993
CAN,KOR,2000,-925418.8970000001
CAN,MEX,2000,-2282204.5199999996
CAN,RUS,2000,42460.823000000004
CAN,SAU,2000,196581.299
CAN,TUR,2000,-5966.718999999983
CAN,USA,2000,66806824.13800001
CAN,ZAF,2000,-60068.924
CHN,DEU,2000,668517.9920000006
CHN,EUN,2000,44883588.621999994
CHN,FRA,2000,745808.8959999997
CHN,GBR,2000,4086270.7790000006
CHN,IDN,2000,294115.9500000002
CHN,IND,2000,825848.4670000001
CHN,ITA,2000,1647442.6569999997
CHN,JPN,2000,11272218.342999998
CHN,KOR,2000,-7162175.645
CHN,MEX,2000,1025087.145
CHN,RUS,2000,-3014269.8770000003
CHN,SAU,2000,1030660.651
CHN,TUR,2000,986558.3200000001
CHN,USA,2000,36898569.907000005
