source,target,value,year
ARG_E,AUS,68456.002,2000
ARG_E,BRA,6990801.568,2000
ARG_E,CAN,271588.41,2000
ARG_E,CHN,796927.268,2000
ARG_E,DEU,595469.173,2000
ARG_E,EUN,5136824.466,2000
ARG_E,FRA,531994.955,2000
ARG_E,GBR,262234.134,2000
ARG_E,IDN,70203.711,2000
ARG_E,IND,437132.686,2000
ARG_E,ITA,734790.196,2000
ARG_E,JPN,379783.229,2000
ARG_E,KOR,151050.312,2000
ARG_E,MEX,326354.909,2000
ARG_E,RUS,103442.248,2000
ARG_E,SAU,37511.147,2000
ARG_E,TUR,79841.531,2000
ARG_E,USA,3148713.321,2000
ARG_E,ZAF,241309.62,2000
AUS_E,ARG,58270.731,2000
AUS_E,BRA,330264.553,2000
AUS_E,CAN,837568.413,2000
AUS_E,CHN,3474454.84,2000
AUS_E,DEU,751902.757,2000
AUS_E,EUN,8407787.245,2000
AUS_E,FRA,534397.254,2000
AUS_E,GBR,2168863.423,2000
AUS_E,IDN,1672714.251,2000
AUS_E,IND,1059580.691,2000
AUS_E,ITA,1065873.301,2000
AUS_E,JPN,12600200.04,2000
AUS_E,KOR,5230432.979,2000
AUS_E,MEX,196027.959,2000
AUS_E,RUS,154554.389,2000
AUS_E,SAU,917214.008,2000
AUS_E,TUR,170371.488,2000
AUS_E,USA,6343590.179,2000
AUS_E,ZAF,729906.228,2000
BRA_E,ARG,6229543.769,2000
BRA_E,AUS,338897.81,2000
BRA_E,CAN,565248.302,2000
BRA_E,CHN,1084859.711,2000
BRA_E,DEU,2524701.057,2000
BRA_E,EUN,17168982.48,2000
BRA_E,FRA,1789951.537,2000
BRA_E,GBR,1496508.655,2000
BRA_E,IDN,218765.191,2000
BRA_E,IND,217155.365,2000
BRA_E,ITA,2142988.525,2000
BRA_E,JPN,2471248.374,2000
BRA_E,KOR,580669.753,2000
BRA_E,MEX,1709783.257,2000
BRA_E,RUS,422815.404,2000
BRA_E,SAU,410235.155,2000
BRA_E,TUR,281369.101,2000
BRA_E,USA,13360246.43,2000
BRA_E,ZAF,301310.581,2000
CAN_E,ARG,160052.322,2000
CAN_E,AUS,763662.357,2000
CAN_E,BRA,651208.793,2000
CAN_E,CHN,2172771.155,2000
CAN_E,DEU,2023991.988,2000
CAN_E,EUN,17458886.19,2000
CAN_E,FRA,1211128.172,2000
CAN_E,GBR,3632120.759,2000
CAN_E,IDN,446995.347,2000
CAN_E,IND,358094.453,2000
CAN_E,ITA,1128457.224,2000
CAN_E,JPN,6035271.838,2000
CAN_E,KOR,1501313.288,2000
CAN_E,MEX,1298327.618,2000
CAN_E,RUS,131365.597,2000
CAN_E,SAU,212130.119,2000
