source,target,value
ARG_s,AUS,621445.784
ARG_s,BRA,11291357.44
ARG_s,CAN,1293941.486
ARG_s,CHN,4210929.515
ARG_s,DEU,1051588.361
ARG_s,EUN,9895202.845
ARG_s,FRA,405367.944
ARG_s,GBR,829716.929
ARG_s,IDN,1282595.299
ARG_s,IND,1600405.104
ARG_s,ITA,1083655.303
ARG_s,JPN,484298.812
ARG_s,KOR,291531.322
ARG_s,MEX,734649.732
ARG_s,RUS,753983.659
ARG_s,SAU,931899.341
ARG_s,TUR,454254.609
ARG_s,USA,4277904.697
ARG_s,ZAF,516166.094
AUS_s,ARG,331904.795
AUS_s,BRA,1040392.813
AUS_s,CAN,1417342.513
AUS_s,CHN,87726224.73
AUS_s,DEU,1661255.421
AUS_s,EUN,13160461.49
AUS_s,FRA,1219837.904
AUS_s,GBR,3611194.164
AUS_s,IDN,4796360.17
AUS_s,IND,12369311.51
AUS_s,ITA,646181.199
AUS_s,JPN,41355759.25
AUS_s,KOR,17745603.69
AUS_s,MEX,190688.116
AUS_s,RUS,462887.069
AUS_s,SAU,549037.087
AUS_s,TUR,329435.61
AUS_s,USA,9552813.996
AUS_s,ZAF,1243551.243
BRA_s,ARG,14912622.71
BRA_s,AUS,469972.056
BRA_s,CAN,3353111.436
BRA_s,CHN,63929563.24
BRA_s,DEU,5206384.657
BRA_s,EUN,37140459.54
BRA_s,FRA,2649661.264
BRA_s,GBR,3009410.1
BRA_s,IDN,1476563.241
BRA_s,IND,3908941.505
BRA_s,ITA,3554477.181
BRA_s,JPN,4321411.289
BRA_s,KOR,3439019.735
BRA_s,MEX,4504798.201
BRA_s,RUS,1654847.021
BRA_s,SAU,2100132.3
BRA_s,TUR,2369855.788
BRA_s,USA,29093175.4
BRA_s,ZAF,1362466.344
CAN_s,ARG,225187.067
CAN_s,AUS,1316116.869
CAN_s,BRA,1587650.932
CAN_s,CHN,20708486.65
CAN_s,DEU,3008629.597
CAN_s,EUN,36258826.46
CAN_s,FRA,2421490.96
CAN_s,GBR,12284260.18
CAN_s,IDN,1629842.418
CAN_s,IND,3260110.139
CAN_s,ITA,2321386.979
CAN_s,JPN,9845404.375
CAN_s,KOR,4468176.738
CAN_s,MEX,5994860.023
CAN_s,RUS,378480.8
CAN_s,SAU,1388480.091
CAN_s,TUR,977670.001
CAN_s,USA,307704783.2
CAN_s,ZAF,286984.661
CHN_s,ARG,8418452.732
